2020-11-11 - 16:37:58 INFO:  Accuracy: 0.4840908944606781 durch die Hyperparameter -> {'epochs': 2, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'adam', 'loss_function': 'sparse_categorical_crossentropy'}
2020-11-11 - 16:45:55 INFO:  Accuracy: 0.8068181872367859 durch die Hyperparameter -> {'epochs': 10, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'adam', 'loss_function': 'sparse_categorical_crossentropy'}
2020-11-11 - 16:45:55 INFO:  Accuracy: 0.8068181872367859 durch die Hyperparameter -> {'epochs': 10, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'adam', 'loss_function': 'sparse_categorical_crossentropy'}
2020-11-11 - 16:47:10 INFO:  Accuracy: 0.8295454382896423 durch die Hyperparameter -> {'epochs': 8, 'batch_size': 32, 'filter_size': 64, 'kernel_size': 3, 'activation_function': 'relu', 'optimizer': 'adam', 'loss_function': 'sparse_categorical_crossentropy'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.5123587250709534 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 2, 'optimizer': 'Adadelta'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 5, 'optimizer': 'Adam'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.5126363635063171 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 5, 'optimizer': 'SGD'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.49652524292469025 durch die Hyperparameter -> {'batch_size': 128, 'epochs': 5, 'optimizer': 'Adadelta'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.503474771976471 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 1, 'optimizer': 'Adam'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.503474771976471 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 1, 'optimizer': 'SGD'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 1, 'optimizer': 'Adadelta'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 2, 'optimizer': 'Adam'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.5106969773769379 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 2, 'optimizer': 'SGD'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.5126363635063171 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 2, 'optimizer': 'Adadelta'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 5, 'optimizer': 'Adam'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 5, 'optimizer': 'SGD'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.4970858693122864 durch die Hyperparameter -> {'batch_size': 64, 'epochs': 5, 'optimizer': 'Adadelta'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 1, 'optimizer': 'Adam'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 1, 'optimizer': 'SGD'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.5384747684001923 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 1, 'optimizer': 'Adadelta'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 2, 'optimizer': 'Adam'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 2, 'optimizer': 'SGD'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.5126363635063171 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 2, 'optimizer': 'Adadelta'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.4887523800134659 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 5, 'optimizer': 'Adam'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 5, 'optimizer': 'SGD'}
2021-07-16 - 16:27:05 INFO: [GridSearch Validation] Accuracy: 0.48736365139484406 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 5, 'optimizer': 'Adadelta'}
2021-07-16 - 16:27:11 INFO: [GridSearch Test] Accuracy: 0.9696969985961914 durch die Hyperparameter -> {'batch_size': 32, 'epochs': 1, 'optimizer': 'Adadelta'}
